Población;Latitud;Longitud
Terradillos;40.83985;-5.542461
Villamayor;41.00082;-5.68979
Villares de la Reina;41.00651;-5.647612
Villoria;40.9945;-5.374672
Vitigudino;41.00888;-6.43838
Ayllón;41.41933;-3.373922
Cantalejo;41.25864;-3.9281
Cantimpalos;41.0742;-4.158595
Carbonero el Mayor;41.12254;-4.266704
Coca;41.21833;-4.519117
Cuéllar;41.40251;-4.316654
Espinar (El);40.71771;-4.247441
Lastrilla (La);40.9687;-4.103292
Mozoncillo;41.40326;-3.517124
Nava de la Asunción;41.15579;-4.487045
Navalmanzano;41.21515;-4.258042
Navas de Oro;41.19619;-4.439495
Otero de Herreros;40.82013;-4.20911
Palazuelos de Eresma;40.93102;-4.059671
Riaza;41.28003;-3.477578
San Cristóbal de Segovia;40.95257;-4.076104
San Ildefonso;40.90373;-4.007106
Santa María la Real de Nieva;41.06889;-4.404407
Segovia;40.94943;-4.119209
Sepúlveda;41.29744;-3.749051
Torrecaballeros;40.99184;-4.024845
Turégano;41.15512;-4.007469
Villacastín;40.7799;-4.413782
Ágreda;41.85508;-1.920437
Almazán;41.48592;-2.533437
Arcos de Jalón;41.21495;-2.2713
Berlanga de Duero;41.46519;-2.861313
Burgo de Osma-Ciudad de Osma;41.58764;-3.06658
Covaleda;41.93584;-2.884975
Duruelo de la Sierra;41.95428;-2.932089
Golmayo;41.76519;-2.524221
Ólvega;41.77938;-1.985618
San Esteban de Gormaz;41.57364;-3.205283
San Leonardo de Yagüe;41.82905;-3.066409
Soria;41.7636;-2.464921
Vinuesa;41.91164;-2.762882
Alaejos;41.30723;-5.217235
Aldeamayor de San Martín;41.51191;-4.640789
Arroyo de la Encomienda;41.60952;-4.796458
Boecillo;41.5409;-4.699863
Cabezón de Pisuerga;41.73401;-4.645665
Campaspero;41.49291;-4.199188
Carpio;41.21339;-5.11081
Cigales;41.75821;-4.699579
Cistérniga;41.61322;-4.689145
Fresno el Viejo;41.19566;-5.145677
Fuensaldaña;41.70668;-4.764007
Íscar;41.36171;-4.535896
Laguna de Duero;41.58331;-4.721731
Matapozuelos;41.41465;-4.79148
Mayorga;42.16557;-5.265478
Medina de Rioseco;41.88319;-5.04281
Medina del Campo;41.30819;-4.921706
Mojados;41.43191;-4.66421
Montemayor de Pililla;41.5081;-4.453449
Nava del Rey;41.33257;-5.079111
Olmedo;41.28892;-4.683382
Pedraja de Portillo (La);41.47289;-4.643072
Pedrajas de San Esteban;41.33928;-4.580059
Peñafiel;41.59464;-4.118107
Portillo;41.47901;-4.588226
Quintanilla de Onésimo;41.62392;-4.363746
Renedo de Esgueva;41.65422;-4.627491
Rueda;41.41413;-4.957104
Santovenia de Pisuerga;41.69658;-4.688344
Seca (La);41.41461;-4.907119
Serrada;41.4593;-4.861142
Simancas;41.59023;-4.826713
Tordesillas;41.50165;-4.999127
Traspinedo;41.57597;-4.472253
Tudela de Duero;41.58638;-4.581106
Valdestillas;41.47604;-4.770289
Valladolid;41.65295;-4.728388
Viana de Cega;41.52876;-4.752031
Villabrágima;41.82352;-5.11295
Villalón de Campos;42.09926;-5.033988
Villanubla;41.69872;-4.841893
Villanueva de Duero;41.51768;-4.868396
Zaratán;41.661;-4.78407
Alcañices;41.69968;-6.347962
Benavente;42.00302;-5.67408
Bermillo de Sayago;41.36691;-6.112085
Coreses;41.54818;-5.622248
Corrales;41.35688;-5.728258
Fermoselle;41.31866;-6.39788
Fuentesaúco;41.22937;-5.496713
Galende;42.10423;-6.66264
Moraleja del Vino;41.46376;-5.656368
Morales de Toro;41.53684;-5.30874
Morales del Vino;41.44627;-5.730685
Puebla de Sanabria;42.05469;-6.633974
San Cristóbal de Entreviñas;42.04623;-5.63461
Santa Cristina de la Polvorosa;42.00021;-5.711788
Santibáñez de Vidriales;42.07348;-6.015193
Toro;41.52636;-5.394857
Trabazos;41.74718;-6.492951
Villalpando;41.86461;-5.411108
Villaralbo;41.4931;-5.682579
Zamora;41.50368;-5.743778
